style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【カンタレラ Cantarella】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,181,2025-05-28T00:00:06Z,Wednesday,Spring,56740,7229,259,0.1319703912583715
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【 Risley Circus / リズリーサーカス】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,256,2025-01-16T21:00:05Z,Thursday,Winter,14927,1783,97,0.12594627185636767
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【Perception Check】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,124,2024-05-27T22:45:06Z,Monday,Spring,41352,4896,246,0.12434706906558328
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【ゲテモノ Bizarre Food 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,187,2024-04-05T23:00:05Z,Friday,Spring,142485,9205,463,0.06785275643050145
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【アルミナ Alumina 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,312,2023-11-12T03:15:09Z,Sunday,Fall,66642,6211,216,0.09644068305272951
vTubers,UCN68LoM3khS4gdBMiWJO8WA,290000,【Lucifer / ルシファー 】 Cover by Aia Amare ✧ NIJISANJI EN ✧,Cover,154,2023-05-27T03:00:09Z,Saturday,Spring,833529,40568,911,0.04976311562045232
