style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,「 SEKAI (セカイ) 」 ver. NIJISANJI 🌈🕒 -World Edition-,Cover,256,2024-02-29T03:00:07Z,Thursday,Winter,2251162,71486,1369,0.03236328616065836
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,"「 Boys, come back to me (少年よ我に帰れ) 」ver. 𝒑𝒆𝒏𝒈𝒖𝒎𝒊 (Petra Gurin, Amicia Michella)",Cover,386,2022-11-20T04:00:09Z,Sunday,Fall,232527,13245,241,0.05799756587407054
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,「 EYE / Kanaria 」ver. Petra × Nox,Cover,141,2022-09-17T15:00:09Z,Saturday,Fall,160955,12013,238,0.07611444192476158
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,「 That’s Why I Gave Up On Music (だから僕は音楽を辞めた) / Yorushika 」ver. Petra Gurin,Cover,248,2022-07-20T14:00:11Z,Wednesday,Summer,539983,30984,714,0.05870184802114141
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,「 Tokimeki Broker (ときめきブローカー) / P丸様。」ver. Petra Gurin,Cover,211,2021-12-05T01:00:13Z,Sunday,Winter,644574,28134,426,0.04430833387632762
vTubers,UCgA2jKRkqpY_8eysPUs8sjw,489000,「 phony (フォニイ) / Tsumiki 」ver. Petra Gurin,Cover,189,2021-10-02T03:00:12Z,Saturday,Fall,1263672,57625,735,0.046182870238479605
