style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Butterfly on Your Right Shoulder ／ver. Elira Pendora × Kagamine Len,Cover,270,2025-06-07T01:00:06Z,Saturday,Summer,82727,10189,156,0.1250498628017455
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Fly Me to the Star ／ver. Pomu Rainpuff × Elira Pendora,Cover,193,2024-01-18T00:00:09Z,Thursday,Winter,407745,30279,1149,0.07707758525549056
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,【MV】 sunbeams ／ Elira Pendora,MV,210,2023-12-31T01:00:07Z,Sunday,Winter,678320,35941,1466,0.0551465385068994
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Invincible Rainbow Arrow (English Cover) ／ver. Elira Pendora,Cover,262,2023-10-16T04:05:09Z,Monday,Fall,254695,12943,415,0.05244704450421092
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Cinema ／ver. Elira Pendora,Cover,209,2023-05-26T23:00:09Z,Friday,Spring,1309614,48654,753,0.03772638349926009
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Plastic Love ／ver. Elira Pendora,Cover,313,2023-02-12T01:00:07Z,Sunday,Winter,576422,31984,482,0.056323318679717294
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Shoujo Rei ／ver. Elira Pendora,Cover,301,2022-05-16T00:00:13Z,Monday,Spring,3352979,96798,2798,0.029703735096461983
vTubers,UCIeSUTOTkF9Hs7q3SGcO-Ow,523000,Goodbye Sengen ／ver. Elira Pendora,Cover,173,2021-10-17T03:00:10Z,Sunday,Fall,1659312,74573,1027,0.04556105180942463
