style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,Saja Boys - Your Idol／朔Sakuro 【Cover】,Cover,188,2025-08-03T14:45:06Z,Sunday,Summer,50744,5611,303,0.1165457985180514
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,JVKE - golden hour／朔Sakuro 【Cover】,Cover,214,2025-03-08T16:30:06Z,Saturday,Spring,119286,4838,308,0.04314001643109837
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,キタニタツヤ - 化け猫／朔Sakuro 【Cover】,Cover,168,2024-09-30T17:11:32Z,Monday,Fall,88985,4056,184,0.04764848008091251
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,迷醉 Sangria - 朔Sakuro【Official Music Video】,MV,196,2024-09-06T13:45:07Z,Friday,Fall,248464,8628,308,0.035964968768111276
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,keshi - beside you／朔Sakuro ft. ‪@OboroMoonlit 【Cover】,Cover,168,2024-08-22T11:00:06Z,Thursday,Summer,172795,5444,150,0.03237362192193061
vTubers,UCHVkG_htYhk-JmJ5RWYMXzw,50400,yama - 偽顔／朔Sakuro【Cover】,Cover,159,2024-07-08T11:00:07Z,Monday,Summer,540309,18189,244,0.03411566344443642
