style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【歌ってみた】Ayase - シネマ｜1.5周年紀念Cover✨Cover by 若櫻依兔 WakasaIto & 涅爾菲Nyrfier,Cover,210,2025-06-21T14:30:06Z,Saturday,Summer,5150,538,26,0.10951456310679612
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【沒有辦法開直播的日子04🌸若櫻依兔WakasaIto】ヨルシカ - 斜陽｜Cover . 歌ってみた.,Cover,319,2025-04-30T09:30:35Z,Wednesday,Spring,238,55,17,0.3025210084033613
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【沒有辦法開直播的日子03🌸若櫻依兔WakasaIto】ASIAN KUNG-FU GENERATION - リライト｜Cover . 歌ってみた.,Cover,361,2025-04-26T09:30:34Z,Saturday,Spring,270,61,13,0.2740740740740741
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【沒有辦法開直播的日子02🌸若櫻依兔WakasaIto】サスケ - 青いベンチ｜Cover . 歌ってみた.,Cover,335,2025-04-23T09:30:21Z,Wednesday,Spring,305,61,14,0.2459016393442623
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【沒有辦法開直播的日子01🌸若櫻依兔WakasaIto】あいみょん - 君はロックを聴かない｜Cover . 歌ってみた.,Cover,329,2025-04-20T09:01:04Z,Sunday,Spring,471,74,20,0.19957537154989385
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【歌ってみた】Aimer - LAST STARDUST｜一周年紀念Cover🌸Cover by 若櫻依兔 WakasaIto,Cover,317,2024-12-21T14:49:21Z,Saturday,Winter,3975,337,34,0.09333333333333334
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【歌ってみた】Myuk - 愛の唄🌸Cover by 若櫻依兔,Cover,242,2023-12-09T11:30:11Z,Saturday,Winter,31913,548,43,0.018519098799862126
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【歌ってみた】Guiano - 花🌸Cover by 若櫻依兔,Cover,208,2023-11-24T12:00:04Z,Friday,Fall,47977,1192,59,0.026074994268086793
vTubers,UCGGc-KmG4fxc8D03S-H0rbw,36100,【歌ってみた】Aimer - カタオモイ🌸Cover by 若櫻依兔,Cover,205,2023-11-05T13:30:12Z,Sunday,Fall,98288,2101,157,0.022973302946443105
