style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCMwY4OKlMbwJYzT_wDAXs3w,34400,【歌ってみた】Love it？/biz・ZERA 【Mukuru】ver,Cover,156,2025-03-14T12:00:07Z,Friday,Spring,18015,753,56,0.04490702192617264
vTubers,UCMwY4OKlMbwJYzT_wDAXs3w,34400,【歌ってみた】⚜cryogenic Cover Mukuru ver,Cover,276,2024-11-11T12:30:06Z,Monday,Fall,6475,388,37,0.06563706563706563
vTubers,UCMwY4OKlMbwJYzT_wDAXs3w,34400,【歌ってみた】⚜Flos Cover Mukuru ver,Cover,279,2024-04-04T11:30:06Z,Thursday,Spring,96439,3203,126,0.0345192297721876
