style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,"友成空 - ""鬼ノ宴"" (Cover by LiKaRuZ 利卡洛斯)",Cover,176,2024-10-30T14:00:06Z,Wednesday,Fall,39677,2105,89,0.055296519394107416
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,【歌回精華】小陸 - 寫完這首歌我就會放下你了 (Cover by LiKaRuZ 利卡洛斯),Cover,187,2024-07-25T09:00:19Z,Thursday,Summer,16829,934,68,0.05954007962445778
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,Omoinotake / モラトリアム (Cover by LiKaRuZ 利卡洛斯),Cover,285,2024-02-14T12:00:07Z,Wednesday,Winter,50292,2488,130,0.05205599300087489
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,"The Kid LAROI, Justin Bieber - STAY (Cover by LiKaRuZ 利卡洛斯)",Cover,140,2023-09-11T12:00:11Z,Monday,Fall,132004,5660,206,0.04443804733189903
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,【歌回官方精華】The Calling - Wherever You Will Go (Cover by LiKaRuZ 利卡洛斯),Cover,206,2023-06-14T15:30:07Z,Wednesday,Summer,5759,296,6,0.05243965966313596
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,Christopher - Bad (Cover by LiKaRuZ 利卡洛斯),Cover,195,2023-03-28T13:30:08Z,Tuesday,Spring,123010,3739,112,0.031306397853833025
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,"Juice boy, 8lak - Paradise (Cover by LiKaRuZ 利卡洛斯)",Cover,166,2023-03-14T13:30:13Z,Tuesday,Spring,33944,1055,88,0.03367310864954042
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,NF - Let You Down (Cover by LiKaRuZ 利卡洛斯),Cover,209,2023-02-20T13:30:08Z,Monday,Winter,88439,2675,98,0.031354945216476894
vTubers,UCWEOI4TNvZQh-SDcdMrifyg,47300,HEYYEYAAEYAAAEYAEYAA (Cover by LiKaRuZ 利卡洛斯),Cover,129,2023-01-22T13:30:20Z,Sunday,Winter,52583,2187,164,0.04471026757697354
